Date,Load
8/23/2017 1:00:00 AM,71745
8/23/2017 2:00:00 AM,68985
8/23/2017 3:00:00 AM,67338
8/23/2017 4:00:00 AM,66788
8/23/2017 5:00:00 AM,67886
8/23/2017 6:00:00 AM,71348
8/23/2017 7:00:00 AM,74863
8/23/2017 8:00:00 AM,77157
8/23/2017 9:00:00 AM,79853
8/23/2017 10:00:00 AM,82991
8/23/2017 11:00:00 AM,85961
8/23/2017 12:00:00 PM,88507
8/23/2017 1:00:00 PM,90804
8/23/2017 2:00:00 PM,92787
8/23/2017 3:00:00 PM,93777
8/23/2017 4:00:00 PM,94060
8/23/2017 5:00:00 PM,93760
8/23/2017 6:00:00 PM,92516
8/23/2017 7:00:00 PM,90403
8/23/2017 8:00:00 PM,88358
8/23/2017 9:00:00 PM,87332
8/23/2017 10:00:00 PM,83158
8/23/2017 11:00:00 PM,77485
8/24/2017 12:00:00 AM,73102
8/24/2017 1:00:00 AM,68841
8/24/2017 2:00:00 AM,66262
8/24/2017 3:00:00 AM,64730
8/24/2017 4:00:00 AM,64258
8/24/2017 5:00:00 AM,65372
8/24/2017 6:00:00 AM,68796
8/24/2017 7:00:00 AM,72743
8/24/2017 8:00:00 AM,74527
8/24/2017 9:00:00 AM,77036
8/24/2017 10:00:00 AM,79918
8/24/2017 11:00:00 AM,82583
8/24/2017 12:00:00 PM,84821
8/24/2017 1:00:00 PM,86822
8/24/2017 2:00:00 PM,88540
8/24/2017 3:00:00 PM,89395
8/24/2017 4:00:00 PM,89646
8/24/2017 5:00:00 PM,89515
8/24/2017 6:00:00 PM,88438
8/24/2017 7:00:00 PM,86443
8/24/2017 8:00:00 PM,84872
8/24/2017 9:00:00 PM,84125
8/24/2017 10:00:00 PM,80358
8/24/2017 11:00:00 PM,75263
8/25/2017 12:00:00 AM,70877
8/25/2017 1:00:00 AM,67662
8/25/2017 2:00:00 AM,65246
8/25/2017 3:00:00 AM,63740
8/25/2017 4:00:00 AM,63222
8/25/2017 5:00:00 AM,64305
8/25/2017 6:00:00 AM,67682
8/25/2017 7:00:00 AM,70807
8/25/2017 8:00:00 AM,73065
8/25/2017 9:00:00 AM,75850
8/25/2017 10:00:00 AM,78497
8/25/2017 11:00:00 AM,80887
8/25/2017 12:00:00 PM,82948
8/25/2017 1:00:00 PM,84897
8/25/2017 2:00:00 PM,86615
8/25/2017 3:00:00 PM,87516
8/25/2017 4:00:00 PM,87756
8/25/2017 5:00:00 PM,87294
8/25/2017 6:00:00 PM,85494
8/25/2017 7:00:00 PM,83007
8/25/2017 8:00:00 PM,80897
8/25/2017 9:00:00 PM,80210
8/25/2017 10:00:00 PM,77100
8/25/2017 11:00:00 PM,72417
8/26/2017 12:00:00 AM,69351
8/28/2017 1:00:00 AM,65194
8/28/2017 1:00:00 AM,65194
8/28/2017 2:00:00 AM,63267
8/28/2017 2:00:00 AM,63267
8/28/2017 3:00:00 AM,62268
8/28/2017 3:00:00 AM,62268
8/28/2017 4:00:00 AM,62231
8/28/2017 4:00:00 AM,62231
8/28/2017 5:00:00 AM,63858
8/28/2017 5:00:00 AM,63858
8/28/2017 6:00:00 AM,67473
8/28/2017 6:00:00 AM,67473
8/28/2017 7:00:00 AM,71215
8/28/2017 7:00:00 AM,71215
8/28/2017 8:00:00 AM,73998
8/28/2017 8:00:00 AM,73998
8/28/2017 9:00:00 AM,76882
8/28/2017 9:00:00 AM,76882
8/28/2017 10:00:00 AM,79578
8/28/2017 10:00:00 AM,79578
8/28/2017 11:00:00 AM,82029
8/28/2017 11:00:00 AM,82029
8/28/2017 12:00:00 PM,84181
8/28/2017 12:00:00 PM,84181
8/28/2017 1:00:00 PM,86003
8/28/2017 1:00:00 PM,86003
8/28/2017 2:00:00 PM,87569
8/28/2017 2:00:00 PM,87569
8/28/2017 3:00:00 PM,88399
8/28/2017 3:00:00 PM,88399
8/28/2017 4:00:00 PM,88738
8/28/2017 4:00:00 PM,88738
8/28/2017 5:00:00 PM,88595
8/28/2017 5:00:00 PM,88595
8/28/2017 6:00:00 PM,87609
8/28/2017 6:00:00 PM,87609
8/28/2017 7:00:00 PM,85842
8/28/2017 7:00:00 PM,85842
8/28/2017 8:00:00 PM,84510
8/28/2017 8:00:00 PM,84510
8/28/2017 9:00:00 PM,83619
8/28/2017 9:00:00 PM,83619
8/28/2017 10:00:00 PM,80350
8/28/2017 10:00:00 PM,80350
8/28/2017 11:00:00 PM,74707
8/28/2017 11:00:00 PM,74707
8/29/2017 12:00:00 AM,70294
8/29/2017 12:00:00 AM,70294
8/29/2017 1:00:00 AM,66801
8/29/2017 2:00:00 AM,64476
8/29/2017 3:00:00 AM,63172
8/29/2017 4:00:00 AM,62924
8/29/2017 5:00:00 AM,64345
8/29/2017 6:00:00 AM,68235
8/29/2017 7:00:00 AM,71439
8/29/2017 8:00:00 AM,74338
8/29/2017 9:00:00 AM,76706
8/29/2017 10:00:00 AM,79426
8/29/2017 11:00:00 AM,82065
8/29/2017 12:00:00 PM,84140
8/29/2017 1:00:00 PM,85940
8/29/2017 2:00:00 PM,87534
8/29/2017 3:00:00 PM,88352
8/29/2017 4:00:00 PM,88634
8/29/2017 5:00:00 PM,88607
8/29/2017 6:00:00 PM,87689
8/29/2017 7:00:00 PM,86191
8/29/2017 8:00:00 PM,85100
8/29/2017 9:00:00 PM,84365
8/29/2017 10:00:00 PM,80561
8/29/2017 11:00:00 PM,75684
8/30/2017 12:00:00 AM,70934
8/30/2017 1:00:00 AM,67613
8/30/2017 2:00:00 AM,65201
8/30/2017 3:00:00 AM,63794
8/30/2017 4:00:00 AM,63423
8/30/2017 5:00:00 AM,64085
8/30/2017 6:00:00 AM,67762
8/30/2017 7:00:00 AM,71752
8/30/2017 8:00:00 AM,75056
8/30/2017 9:00:00 AM,77699
8/30/2017 10:00:00 AM,80838
8/30/2017 11:00:00 AM,83973
8/30/2017 12:00:00 PM,86734
8/30/2017 1:00:00 PM,89126
8/30/2017 2:00:00 PM,91169
8/30/2017 3:00:00 PM,92324
8/30/2017 4:00:00 PM,92806
8/30/2017 5:00:00 PM,92444
8/30/2017 6:00:00 PM,91036
8/30/2017 7:00:00 PM,88777
8/30/2017 8:00:00 PM,87106
8/30/2017 9:00:00 PM,86271
8/30/2017 10:00:00 PM,82190
8/30/2017 11:00:00 PM,76466
8/31/2017 12:00:00 AM,71211
8/31/2017 1:00:00 AM,67499
8/31/2017 2:00:00 AM,65397
8/31/2017 3:00:00 AM,63876
8/31/2017 4:00:00 AM,63470
8/31/2017 5:00:00 AM,64036
8/31/2017 6:00:00 AM,67263
8/31/2017 7:00:00 AM,71434
8/31/2017 8:00:00 AM,73864
8/31/2017 9:00:00 AM,76342
8/31/2017 10:00:00 AM,78765
8/31/2017 11:00:00 AM,81018
8/31/2017 12:00:00 PM,82907
8/31/2017 1:00:00 PM,84583
8/31/2017 2:00:00 PM,86067
8/31/2017 3:00:00 PM,86948
8/31/2017 4:00:00 PM,87393
8/31/2017 5:00:00 PM,87262
8/31/2017 6:00:00 PM,85993
8/31/2017 7:00:00 PM,83827
8/31/2017 8:00:00 PM,82416
8/31/2017 9:00:00 PM,81623
8/31/2017 10:00:00 PM,77947
8/31/2017 11:00:00 PM,72898
9/1/2017 12:00:00 AM,68273
9/1/2017 1:00:00 AM,65068
9/1/2017 2:00:00 AM,63016
9/1/2017 3:00:00 AM,61301
9/1/2017 4:00:00 AM,60947
9/1/2017 5:00:00 AM,62293
9/1/2017 6:00:00 AM,66017
9/1/2017 7:00:00 AM,70098
9/1/2017 8:00:00 AM,72421
9/1/2017 9:00:00 AM,74724
9/1/2017 10:00:00 AM,77058
9/1/2017 11:00:00 AM,79008
9/1/2017 12:00:00 PM,80499
9/1/2017 1:00:00 PM,81849
9/1/2017 2:00:00 PM,83052
9/1/2017 3:00:00 PM,83559
9/1/2017 4:00:00 PM,83611
9/1/2017 5:00:00 PM,83166
9/1/2017 6:00:00 PM,81898
9/1/2017 7:00:00 PM,80083
9/1/2017 8:00:00 PM,79070
9/1/2017 9:00:00 PM,77670
9/1/2017 10:00:00 PM,73899
9/1/2017 11:00:00 PM,69364
9/2/2017 12:00:00 AM,64881
9/2/2017 1:00:00 AM,60908
9/2/2017 2:00:00 AM,58880
9/2/2017 3:00:00 AM,58062
9/2/2017 4:00:00 AM,57326
9/2/2017 5:00:00 AM,57454
9/2/2017 6:00:00 AM,58468
9/2/2017 7:00:00 AM,58993
9/2/2017 8:00:00 AM,61182
9/2/2017 9:00:00 AM,64125
9/2/2017 10:00:00 AM,67327
9/2/2017 11:00:00 AM,69974
9/2/2017 12:00:00 PM,71896
9/2/2017 1:00:00 PM,73362
9/2/2017 2:00:00 PM,74573
9/2/2017 3:00:00 PM,75548
9/2/2017 4:00:00 PM,76438
9/2/2017 5:00:00 PM,77050
9/2/2017 6:00:00 PM,76830
9/2/2017 7:00:00 PM,75792
9/2/2017 8:00:00 PM,75361
9/2/2017 9:00:00 PM,74471
9/2/2017 10:00:00 PM,71148
9/2/2017 11:00:00 PM,66550
9/3/2017 12:00:00 AM,62611
9/3/2017 1:00:00 AM,58913
9/3/2017 2:00:00 AM,57544
9/3/2017 3:00:00 AM,56155
9/3/2017 4:00:00 AM,55337
9/3/2017 5:00:00 AM,55173
9/3/2017 6:00:00 AM,55831
9/3/2017 7:00:00 AM,56322
9/3/2017 8:00:00 AM,57484
9/3/2017 9:00:00 AM,60740
9/3/2017 10:00:00 AM,64693
9/3/2017 11:00:00 AM,68478
9/3/2017 12:00:00 PM,71991
9/3/2017 1:00:00 PM,75261
9/3/2017 2:00:00 PM,78086
9/3/2017 3:00:00 PM,80473
9/3/2017 4:00:00 PM,82465
9/3/2017 5:00:00 PM,83583
9/3/2017 6:00:00 PM,83164
9/3/2017 7:00:00 PM,81277
9/3/2017 8:00:00 PM,79183
9/3/2017 9:00:00 PM,78008
9/3/2017 10:00:00 PM,74404
9/3/2017 11:00:00 PM,69368
9/4/2017 12:00:00 AM,65094
9/4/2017 1:00:00 AM,62145
9/4/2017 2:00:00 AM,60218
9/4/2017 3:00:00 AM,58686
9/4/2017 4:00:00 AM,57850
9/4/2017 5:00:00 AM,57564
9/4/2017 6:00:00 AM,57640
9/4/2017 7:00:00 AM,57854
9/4/2017 8:00:00 AM,59583
9/4/2017 9:00:00 AM,64345
9/4/2017 10:00:00 AM,69372
9/4/2017 11:00:00 AM,74416
9/4/2017 12:00:00 PM,78632
9/4/2017 1:00:00 PM,82251
9/4/2017 2:00:00 PM,84927
9/4/2017 3:00:00 PM,86804
9/4/2017 4:00:00 PM,87991
9/4/2017 5:00:00 PM,88440
9/4/2017 6:00:00 PM,87666
9/4/2017 7:00:00 PM,85869
9/4/2017 8:00:00 PM,84216
9/4/2017 9:00:00 PM,82787
9/4/2017 10:00:00 PM,77766
9/4/2017 11:00:00 PM,72019
9/5/2017 12:00:00 AM,67131
9/5/2017 1:00:00 AM,64457
9/5/2017 2:00:00 AM,62338
9/5/2017 3:00:00 AM,60996
9/5/2017 4:00:00 AM,60553
9/5/2017 5:00:00 AM,62016
9/5/2017 6:00:00 AM,66056
9/5/2017 7:00:00 AM,70805
9/5/2017 8:00:00 AM,73860
9/5/2017 9:00:00 AM,76413
9/5/2017 10:00:00 AM,79171
9/5/2017 11:00:00 AM,81993
9/5/2017 12:00:00 PM,84174
9/5/2017 1:00:00 PM,86076
9/5/2017 2:00:00 PM,87568
9/5/2017 3:00:00 PM,88087
9/5/2017 4:00:00 PM,88075
9/5/2017 5:00:00 PM,87648
9/5/2017 6:00:00 PM,86602
9/5/2017 7:00:00 PM,84957
9/5/2017 8:00:00 PM,84001
9/5/2017 9:00:00 PM,82609
9/5/2017 10:00:00 PM,77686
9/5/2017 11:00:00 PM,72406
9/6/2017 12:00:00 AM,67579
9/6/2017 1:00:00 AM,62848
9/6/2017 2:00:00 AM,60731
9/6/2017 3:00:00 AM,59529
9/6/2017 4:00:00 AM,59326
9/6/2017 5:00:00 AM,60907
9/6/2017 6:00:00 AM,64860
9/6/2017 7:00:00 AM,69527
9/6/2017 8:00:00 AM,71407
9/6/2017 9:00:00 AM,72928
9/6/2017 10:00:00 AM,74750
9/6/2017 11:00:00 AM,76398
9/6/2017 12:00:00 PM,77651
9/6/2017 1:00:00 PM,78716
9/6/2017 2:00:00 PM,79626
9/6/2017 3:00:00 PM,79967
9/6/2017 4:00:00 PM,79985
9/6/2017 5:00:00 PM,79872
9/6/2017 6:00:00 PM,79345
9/6/2017 7:00:00 PM,78406
9/6/2017 8:00:00 PM,78429
9/6/2017 9:00:00 PM,77032
9/6/2017 10:00:00 PM,72554
9/6/2017 11:00:00 PM,67355
9/7/2017 12:00:00 AM,62857
9/7/2017 1:00:00 AM,59632
9/7/2017 2:00:00 AM,58177
9/7/2017 3:00:00 AM,57274
9/7/2017 4:00:00 AM,57252
9/7/2017 5:00:00 AM,58829
9/7/2017 6:00:00 AM,62404
9/7/2017 7:00:00 AM,67553
9/7/2017 8:00:00 AM,69544
9/7/2017 9:00:00 AM,70892
9/7/2017 10:00:00 AM,72462
9/7/2017 11:00:00 AM,73994
9/7/2017 12:00:00 PM,75255
9/7/2017 1:00:00 PM,76334
9/7/2017 2:00:00 PM,77478
9/7/2017 3:00:00 PM,78123
9/7/2017 4:00:00 PM,78467
9/7/2017 5:00:00 PM,78525
9/7/2017 6:00:00 PM,78143
9/7/2017 7:00:00 PM,77414
9/7/2017 8:00:00 PM,78037
9/7/2017 9:00:00 PM,76844
